省份,区域,状态,2020-02-19,2020-02-18,2020-02-17,2020-02-16,2020-02-15,2020-02-14,2020-02-13,2020-02-12,2020-02-11,2020-02-10,2020-02-09,2020-02-08,2020-02-07,2020-02-06,2020-02-05,2020-02-04,2020-02-03,2020-02-02,2020-02-01,2020-01-31,2020-01-30,2020-01-29,2020-01-28,2020-01-27,2020-01-26,2020-01-25,2020-01-24
湖北,潜江,死亡,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,5,5,5,5,6,6,6,6
湖北,神农架林区,确诊,0,0,0,0,1,3,5,7,7,7,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
湖北,神农架林区,疑似,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
湖北,神农架林区,治愈,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,6,6,6,7,8,8,8,8,10,10,10
湖北,神农架林区,死亡,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
湖北,待明确地区,确诊,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
湖北,待明确地区,疑似,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
湖北,待明确地区,治愈,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
湖北,待明确地区,死亡,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
广东,广东,确诊,53,78,111,151,207,277,354,436,535,632,725,813,895,970,1034,1095,1131,1159,1177,1219,1241,1261,1294,1316,1322,1328,1331
广东,广东,疑似,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
广东,广东,治愈,2,2,2,3,4,5,10,11,14,15,21,30,49,69,88,112,141,167,212,275,314,362,410,465,524,565,600
广东,广东,死亡,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,4,4,5
广东,深圳,确诊,15,20,31,36,57,80,98,134,170,207,245,271,291,316,339,354,366,369,375,386,391,400,406,414,415,416,416
广东,深圳,疑似,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
广东,深圳,治愈,2,2,2,3,4,4,4,4,5,5,10,13,16,22,31,39,46,56,66,82,94,104,115,131,152,163,182
广东,深圳,死亡,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2
广东,广州,确诊,7,14,17,41,51,63,94,112,150,179,200,224,249,270,285,301,307,314,317,323,327,328,335,338,339,339,339
广东,广州,疑似,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
广东,广州,治愈,0,0,0,0,0,0,3,1,3,3,3,3,12,20,21,27,41,43,49,71,78,93,106,121,132,142,148
广东,广州,死亡,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
广东,珠海,确诊,8,10,12,12,12,18,26,34,38,47,55,64,72,73,76,83,83,85,86,87,89,91,95,96,97,98,98
